ID;Pakomats;Datums;Sutijumi;KoordX;KoordY
9880;R?gas RIMI N?cgale pakom?ts;18.janv;297;56.945271;24.172698
9881;R?gas TC DOMINA pakom?ts;18.janv;491;56.965629;24.162696
9882;R?gas TC Riga Plaza pakom?ts;18.janv;103;56.926828;24.102272
9886;Vi??nu pakom?ts;18.janv;335;56.548038;26.923911
9887;Valmieras Maxima X N?kotnes iela pakom?ts;18.janv;666;57.530061;25.427524
9888;Tukuma Maxima XX pakom?ts;18.janv;266;56.971738;23.153615
9889;Salacgr?vas Maxima X pakom?ts;18.janv;361;57.751951;24.358421
9890;RIMI Lido?u iela pakom?ts;18.janv;531;56.969486;24.059601
9892;Lielv?rdes Maxima X pakom?ts;18.janv;445;56.718061;24.81462
9893;Ik??iles Maxima X pakom?ts;18.janv;463;56.838117;24.496888
9894;Grobi?as TOP pakom?ts;18.janv;451;56.535101;21.168138
9895;Baldones Mego pakom?ts;18.febr;208;56.742891;24.396305
9898;Priekules TOP pakom?ts;18.janv;316;56.447324;21.584883
9899;Jelgavas TC Valdeka pakom?ts;18.janv;185;56.661755;23.746968
9901;R?gas T/C Alfa pakom?ts;12.nov;1334;56.98267;24.203503
9902;R?gas Anni?mui?as RIMI pakom?ts;12.nov;1941;56.960407;24.012615
9903;R?gas P.Brie?a ielas RIMI pakom?ts;12.nov;1142;56.964867;24.105871
9904;R?gas Deglava Maxima XXX pakom?ts;12.nov;1495;56.950498;24.187498
9905;R?gas T/C Dole pakom?ts;12.nov;1794;56.905651;24.19138
9906;R?gas Saharova ielas IKI pakom?ts;12.nov;1727;56.937157;24.204168
9907;R?gas I??uciema RIMI pakom?ts;12.nov;1254;56.959496;24.053192
9908;R?gas RIMI Gramzdas pakom?ts;JUL. 2014;1090;56.944697;24.011301
9909;R?gas G.Astras ielas Lukoil pakom?ts;12.nov;841;56.956886;24.189278
9910;R?gas M?kusalas Maxima XX pakom?ts;12.nov;807;56.923395;24.106946
9911;R?gas T/C Mols pakom?ts;12.nov;1294;56.934696;24.142799
9912;R?gas Vien?bas gatves 144 Neste pakom?ts;12.nov;833;56.910175;24.087246
9914;R?gas T/C Spice pakom?ts;12.nov;1809;56.929756;24.036562
9915;R?gas T/C Juglas Centrs pakom?ts;12.nov;1845;56.989292;24.244766
9916;Daugavpils Ave?u centrs pakom?ts;12.nov;1058;55.901089;26.526382
9917;Liep?jas Baata pakom?ts;12.nov;1917;56.486786;21.004957
9918;Daugavpils Ditton Rimi pakom?ts;12.nov;2418;55.874596;26.516401
9919;Jelgavas T/C RAF pakom?ts;12.nov;1451;56.667986;23.760634
9920;Kauguru RIMI pakom?ts;12.nov;2533;56.960899;23.615583
9921;C?su Maxima XX pakom?ts;12.nov;2572;57.317123;25.280035
9922;R?zeknes Maxima XX pakom?ts;12.nov;1918;56.524147;27.339478
9923;Ventspils Mego pakom?ts;12.nov;2035;57.389889;21.562643
9924;J?kabpils Mego pakom?ts;12.nov;2221;56.49342;25.87512
9925;Ogres T/C Ogres presti?s pakom?ts;12.nov;2028;56.82513;24.602722
9926;Liep?jas Ro?u laukums pakom?ts;12.nov;1922;56.509052;21.01174
9927;Tukuma Pasta RIMI pakom?ts;12.nov;2210;56.967484;23.158829
9928;Valmieras T/C Valleta pakom?ts;12.nov;3009;57.538544;25.423716
9929;Jelgavas Vivo RIMI pakom?ts;12.nov;3309;56.647499;23.7265
9930;Kuld?gas RIMI pakom?ts;Oct. 2013;2039;56.967018;21.958281
9931;Talsu Talsu RIMI 2 pakom?ts;Oct. 2013;2355;57.248009;22.578781
9932;Siguldas T/C ?okol?de pakom?ts;Oct. 2013;1499;57.143288;24.844282
9933;R?gas Bi?ernieku RIMI pakom?ts;Oct. 2013;1373;56.956909;24.25337
9934;R?gas T/C Olimpia pakom?ts;Oct. 2013;791;56.949924;24.08128
9935;R?gas T/C Damme pakom?ts;Oct. 2013;1068;56.953259;24.037701
9936;Saldus Maxima XX pakom?ts;Oct. 2013;2160;56.668266;22.490301
9937;?ekavas nov. T/C A7 pakom?ts;Oct. 2013;704;56.895973;24.139194
9938;Liep?jas Supernetto Zieme?u iela pakom?ts;Oct. 2013;1721;56.53495;21.012362
9939;R?gas T/C Valdem?rs pakom?ts;Oct. 2013;1820;56.974503;24.135998
9940;Bauskas Supernetto pakom?ts;Oct. 2013;1817;56.40707;24.194196
9941;Dobeles Rimi pakom?ts;OCT. 2014;1858;56.624913;23.283044
9942;Limba?u Maxima XX pakom?ts;OCT. 2014;1235;57.513751;24.722431
9943;Lielupes Rimi pakom?ts;OCT. 2014;1189;56.974873;23.85903
9944;Madonas Maxima XX pakom?ts;OCT. 2014;1623;56.860005;26.2311
9946;B?rnu Pasaule Rimi pakom?ts;OCT. 2014;2213;56.957136;24.134079
9947;Salaspils Rimi pakom?ts;OCT. 2014;1983;56.856382;24.333762
9948;Gulbenes Maxima pakom?ts;OCT. 2014;1295;57.172298;26.757055
9949;Olaines Maxima X pakom?ts;OCT. 2015;1322;56.78457;23.936511
9950;Aizkraukles T/C Iga pakom?ts;OCT. 2015;1493;56.611536;25.263084
9951;Al?ksnes T/C Maxima X pakom?ts;OCT. 2015;1085;57.430149;27.039393
9952;?da?i T/C Supernetto pakom?ts;OCT. 2015;1670;57.076475;24.322602
9953;Ogres T/C Dauga pakom?ts;OCT. 2015;1399;56.816508;24.585355
9954;R?gas T/C Minska pakom?ts;OCT. 2015;1521;56.959053;24.174548
9955;Smiltenes T/C Centrs pakom?ts;OCT. 2015;1248;57.42392;25.903996
9956;Valkas T/C Walk pakom?ts;OCT. 2015;595;57.785275;26.014727
9957;Ventspils Supernetto T?rgales;OCT. 2015;953;57.400019;21.602782
9958;Prei?u Maxima X pakom?ts;OCT. 2015;958;56.294435;26.725437
9959;R?gas Vecm?lgr?vja RIMI pakom?ts;OCT. 2016;1243;57.031556;24.109413
9960;R?gas Bolder?jas Mego pakom?ts;OCT. 2016;865;57.033239;24.048143
9961;R?gas Ziepniekkalna MEGO pakom?ts;OCT. 2016;1370;56.902807;24.094932
9962;R?gas Dzelzavas ielas Supernetto pakom?ts;OCT. 2016;675;56.954162;24.204951
9963;Ventspils T/C Tobago pakom?ts;OCT. 2016;1321;57.387718;21.580208
9964;R?gas ?genskalna Maxima X pakom?ts;OCT. 2016;1003;56.936982;24.07074
9965;R?gas Stacijas laukuma pakom?ts;OCT. 2016;1162;56.948343;24.122626
9966;Liep?jas T/C Rietumu centrs pakom?ts;OCT. 2016;826;56.51501;21.018218
9967;M?rupes RIMI pakom?ts;OCT. 2016;1543;56.905462;24.055561
9968;R?gas Neste DUS Br?v?bas pakom?ts;OCT. 2016;1023;56.978119;24.181891
9969;J?kabpils Maxima X pakom?ts;OCT. 2016;509;56.501563;25.87377
9970;Balo?i Mego pakom?ts;OCT. 2016;755;56.875234;24.118521
9971;R?gas Maxima X Ulbrokas iela pakom?ts;OCT. 2016;1053;56.940718;24.217193
9972;R?gas Grostonas iela Prisma pakom?ts;OCT. 2016;592;56.964547;24.11906
9974;R?zekne RIMI Galdnieku iela pakom?ts;OCT. 2016;1260;56.502256;27.330051
9975;R?gas Dzirciema ielas pakom?ts;OCT. 2016;643;56.950637;24.053969
9976;R?gas T/C RIMI M?lgr?vis pakom?ts;OCT. 2016;583;57.025436;24.139507
9977;R?gas T/C Penta pakom?ts;OCT. 2016;793;56.968073;24.236744
9978;?ekavas TC Liiba pakom?ts;OCT. 2016;1171;56.832535;24.232458
9979;Kandavas Maxima X pakom?ts;OCT. 2016;522;57.035169;22.781189
9980;Aizputes TOP Zvaig??u iela pakom?ts;OCT. 2016;619;56.719004;21.607323
9981;Jelgavas T/C RIMI Satiksmes pakom?ts;OCT. 2016;1185;56.656704;23.699647
9982;Balvu TOP pakom?ts;OCT. 2016;875;57.132165;27.263967
9983;L?v?nu Maxima XX pakom?ts;OCT. 2016;638;56.355216;26.174944
9984;Kr?slavas Maxima X pakom?ts;OCT. 2016;541;55.897035;27.162051
9985;Ludzas Maxima X pakom?ts;OCT. 2016;800;56.543852;27.711395
9986;Siguldas ELVI Vidus iela pakom?ts;OCT. 2016;1056;57.153081;24.84786
9987;Iecavas Maxima X pakom?ts;JUL. 2016;804;56.597865;24.196916
9988;Carnikavas Mego pakom?ts;OCT.2016;647;57.128349;24.276067
9989;Dagdas TOP pakom?ts;18.janv;164;56.095957;27.539638
9990;P?avi?u TOP pakom?ts;18.janv;327;56.618052;25.734168
9991;R?jienas TOP pakom?ts;17.dec;433;57.897417;25.324689
9992;Skrundas Elvi pakom?ts;17.dec;300;56.673477;22.013661
9993;Vecpiebalgas TOP pakom?ts;18.janv;121;57.060241;25.817247
9994;Ozolnieku Elvi pakom?ts;17.dec;370;56.691705;23.792724
9995;R?gas TC ZOOM pakom?ts;17.dec;509;56.89806;24.204222
9998;Daugavpils Mego Valkas iela pakom?ts;18.janv;615;55.879901;26.560687
;Brocenu MEGO pakomats;;-5;56.682556;22.565434
;Pinku Elvi pakomats;;-5;56.944192;23.908955
;Rigas Briana ielas Rimi pakomats;;-5;56.977408;24.435093
;Rigas Centrus kvartals pakomats;;-5;56.952903;24.121952
